1	30	3	2733	5087
2	40	1	4597	3788
3	20	1	3694	2608
4	10	3	4212	4287
5	29	3	2577	5902
6	39	1	2523	3893
7	9	3	5229	2431
8	19	1	3594	4084
9	38	1	4166	5269
10	28	3	3130	5159
11	18	1	4546	3177
12	8	3	3705	5536
13	37	1	2697	5356
14	17	1	3790	3215
15	27	3	4144	3326
16	36	1	3481	5904
17	7	3	4464	2940
18	16	1	4724	2113
19	26	3	2779	4380
20	6	3	3123	5134
21	35	1	5767	5222
22	25	3	5805	2409
23	5	3	2096	2584
24	15	1	5550	3414
25	24	3	2140	2679
26	34	1	5341	2027
27	14	1	2842	4793
28	23	3	3409	5518
29	4	3	5799	4049
30	33	1	2919	4636
31	22	3	4459	2616
32	13	1	4259	4647
33	32	1	5343	4320
34	3	3	3308	3801
35	12	1	4093	4492
36	31	1	3781	4404
37	2	3	4258	4017
38	11	1	2528	4802
39	21	3	4825	3440
40	1	3	3091	2874
